Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,29885,species,Bohemian Waxwing,Bombycilla garrulus,40,Pleasant St and Maine St,US-ME,10 Mar 2026,L47689770,S307949953,,1
2,28144,species,Mountain Bluebird,Sialia currucoides,6,Truckee--blackbird ponds,US-CA,06 Mar 2026,L746574,S306477382,,1
3,11451,species,White-headed Woodpecker,Leuconotopicus albolarvatus,2,Truckee--blackbird ponds,US-CA,06 Mar 2026,L746574,S306477382,,1
4,13128,species,Nanday Parakeet,Aratinga nenday,22,Pompano Beach Pier,US-FL,24 Jan 2026,L1669570,S295983260,N,1
6,5533,species,Gray-headed Swamphen,Porphyrio poliocephalus,2,Vizcaya Estates wetland,US-FL,23 Jan 2026,L848926,S295783074,N,1
7,575,species,Mottled Duck,Anas fulvigula,2,Vizcaya Estates wetland,US-FL,23 Jan 2026,L848926,S295783074,,1
8,417,species,Egyptian Goose,Alopochen aegyptiaca,10,Vizcaya Estates wetland,US-FL,23 Jan 2026,L848926,S295783074,N,1
10,32966,species,Olive Sparrow,Arremonops rufivirgatus,1,Las Trancas farm fields (Rt 254 to Playa Panama),CR-G,15 Jan 2026,L1498024,S294339351,,1
11,4729,species,Plain-capped Starthroat,Heliomaster constantii,1,Las Trancas farm fields (Rt 254 to Playa Panama),CR-G,15 Jan 2026,L1498024,S294339351,,1
12,8391,species,Crane Hawk,Geranospiza caerulescens,1,Playa Conchal,CR-G,14 Jan 2026,L1130394,S294264285,,1
13,8403,species,Snail Kite,Rostrhamus sociabilis,1,"Vía 151, Carrillo",CR-G,14 Jan 2026,L57209335,S294181602,,1
14,35806,species,Cinnamon-bellied Saltator,Saltator grandis,1,Lakeside School catfish farm,CR-G,14 Jan 2026,L2283287,S294195093,,1
15,34621,species,Painted Bunting,Passerina ciris,2,Lakeside School catfish farm,CR-G,14 Jan 2026,L2283287,S294195093,,1
16,33992,species,Gray-crowned Yellowthroat,Geothlypis poliocephala,1,Lakeside School catfish farm,CR-G,14 Jan 2026,L2283287,S294195093,,1
17,24116,species,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,2,Lakeside School catfish farm,CR-G,14 Jan 2026,L2283287,S294195093,,1
18,2263,species,Plain-breasted Ground Dove,Columbina minuta,2,Lakeside School catfish farm,CR-G,14 Jan 2026,L2283287,S294195093,,1
19,3754,species,Northern Potoo,Nyctibius jamaicensis,1,Suitree Experience Hotel,CR-G,13 Jan 2026,L57128139,S294108867,,1
20,7871,species,Gray-headed Kite,Leptodon cayanensis,1,Flamingo Beach,CR-G,13 Jan 2026,L1801405,S294090924,,1
21,27515,species,Banded Wren,Thryophilus pleurostictus,1,Suitree Experience Hotel,CR-G,12 Jan 2026,L57128139,S293866349,,1
22,17326,species,Nutting's Flycatcher,Myiarchus nuttingi,3,Suitree Experience Hotel,CR-G,12 Jan 2026,L57128139,S293866349,,1
23,16551,species,Northern Beardless-Tyrannulet,Camptostoma imberbe,2,Suitree Experience Hotel,CR-G,12 Jan 2026,L57128139,S293866349,,1
24,4883,species,Canivet's Emerald,Cynanthus canivetii,2,Suitree Experience Hotel,CR-G,11 Jan 2026,L57128139,S293785810,,1
25,203,species,Thicket Tinamou,Crypturellus cinnamomeus,2,Suitree Experience Hotel,CR-G,11 Jan 2026,L57128139,S293785810,,1
26,8449,species,White-tailed Hawk,Geranoaetus albicaudatus,1,"Calle Corralillo, Carrillo CR-Guanacaste",CR-G,11 Jan 2026,L57117665,S293738997,,1
27,33826,species,Bronzed Cowbird,Molothrus aeneus,30,Rancho los Coyotes,CR-G,11 Jan 2026,L57121350,S293755103,,1
28,28101,species,Tropical Mockingbird,Mimus gilvus,1,Ortega y Alrededores,CR-G,11 Jan 2026,L57125122,S293771992,N,1
29,8501,species,Short-tailed Hawk,Buteo brachyurus,1,Bolsón,CR-G,11 Jan 2026,L57125354,S293802380,,1
